pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,106,0.088372,,0.924528,0,76,0,8,860
text,ชื่อวิชา (ไทย) ⭐,106,0.091704,0.218367,0.707547,26,253,4,8,3086
text,ชื่อวิชา (อังกฤษ) ⭐,106,0.099165,0.109223,0.90566,6,288,3,8,2995
text,หน่วยกิต,106,0.105384,,0.915094,3,89,0,8,873
text,ปี/ภาค,106,0.075472,,0.924528,0,24,0,8,318
text,หมวดวิชา,106,0.22314,,0.716981,136,130,58,8,1452
text,บังคับ/เลือก,106,0.166378,,0.867925,30,42,24,8,577
text,วิชาบังคับก่อน,98,0.280374,,0.785714,75,75,0,6,535
text,ปี/ภาคยืดหยุ่น,98,1.0,,0.489796,0,150,0,50,150
