pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,57,0.094017,,0.929825,0,44,0,4,468
text,ชื่อวิชา (ไทย) ⭐,57,0.101834,0.188341,0.77193,18,142,1,4,1581
text,ชื่อวิชา (อังกฤษ) ⭐,57,0.132431,0.130435,0.842105,0,225,0,4,1699
text,หน่วยกิต,57,0.150655,,0.824561,0,68,1,4,458
text,ปี/ภาค,57,0.070175,,0.929825,0,12,0,4,171
text,หมวดวิชา,57,0.154037,,0.824561,59,61,4,4,805
text,บังคับ/เลือก,57,0.260188,,0.842105,20,22,41,4,319
text,วิชาบังคับก่อน,53,0.204947,,0.849057,15,43,0,5,283
text,ปี/ภาคยืดหยุ่น,53,1.0,,0.698113,0,112,0,16,112
