pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,90,0.092896,,0.922222,0,68,0,7,732
text,ชื่อวิชา (ไทย) ⭐,90,0.23708,0.300216,0.733333,61,578,17,7,2767
text,ชื่อวิชา (อังกฤษ) ⭐,90,0.22941,0.263682,0.844444,57,550,3,7,2659
text,หน่วยกิต,90,0.202166,,0.844444,0,167,1,7,831
text,ปี/ภาค,90,0.077778,,0.922222,0,21,0,7,270
text,หมวดวิชา,90,0.168013,,0.788889,53,113,42,7,1238
text,บังคับ/เลือก,90,0.088477,,0.911111,5,38,0,7,486
text,วิชาบังคับก่อน,83,0.093023,,0.939759,25,15,0,0,430
text,ปี/ภาคยืดหยุ่น,83,1.0,,0.481928,0,473,0,43,473
