pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text_merged,รหัสวิชา,90,0.377049,,0.633333,0,276,0,33,732
text_merged,ชื่อวิชา (ไทย) ⭐,90,0.511384,0.708423,0.322222,109,1285,21,33,2767
text_merged,ชื่อวิชา (อังกฤษ) ⭐,90,0.813088,0.825871,0.2,0,2162,0,72,2659
text_merged,หน่วยกิต,90,0.451264,,0.544444,12,363,0,33,831
text_merged,ปี/ภาค,90,0.366667,,0.633333,0,99,0,33,270
text_merged,หมวดวิชา,90,0.989499,,0.011111,0,1225,0,89,1238
text_merged,บังคับ/เลือก,90,0.987654,,0.011111,0,480,0,89,486
text_merged,วิชาบังคับก่อน,57,0.133333,,0.912281,25,15,0,0,300
text_merged,ปี/ภาคยืดหยุ่น,57,1.0,,0.684211,0,198,0,18,198
